,Dataset,CoQA,,,,SQuAD,,,,TriviaQA,,,,NQ,,,
LLM,Methods,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs
,Lexical Similarity,0.774363506,0.769262489,0.526383917,0.487347957,0.680128314,0.653747011,0.354078369,0.314835574,0.833471174,0.815220068,0.59702377,0.551096442,0.75035854,0.758531134,0.454360577,0.405430437
,LN-Entropy,0.754311289,0.722957459,0.387202072,0.331351441,0.583607316,0.566333622,0.177466752,0.125036467,0.824956054,0.828936205,0.543185755,0.525931047,0.767885141,0.761186507,0.388132295,0.404497456
,EigenScore,0.783975913,0.774558913,0.51409482,0.52279629,0.743818458,0.727048993,0.447914509,0.421352277,0.814847047,0.81379308,0.537964426,0.56792214,0.761928506,0.76357736,0.382702362,0.435743156
,Factoscope,/,/,/,/,/,/,/,/,0.810612507,0.812980893,0.540524944,0.565769062,0.755016866,0.759158906,0.385026042,0.40934172
,LHDNA,0.815442411,0.797129247,0.536931366,0.551352782,0.762076426,0.746398006,0.463947238,0.438004067,0.846973179,0.8491737,0.588660491,0.571877727,0.774838558,0.782296814,0.450818806,0.459109329
LLaMA-13B,Perplexity,0.755778042,0.726165673,0.392700469,0.333071637,0.623402231,0.603785596,0.250111687,0.159784425,0.858584664,0.853635929,0.582541016,0.578931459,0.737313765,0.739588706,0.367636262,0.390948858
,Energy,0.603242016,0.579915526,0.145343254,0.118009028,0.428976876,0.408615461,-0.11480531,-0.184927284,0.684415973,0.677387748,0.32437654,0.312370934,0.587510306,0.594371912,0.179634877,0.175208217
,Lexical Similarity,0.805271244,0.762095558,0.512695939,0.476534049,0.798835967,0.787765342,0.566278151,0.504238835,0.835928028,0.829898125,0.565996162,0.569303641,0.770488528,0.75594793,0.398881607,0.399835077
,LN-Entropy,0.768180105,0.745744579,0.403385273,0.359922376,0.745683467,0.734383217,0.453798274,0.382604994,0.832248181,0.841716879,0.575128507,0.556486511,0.75737971,0.753596953,0.392116527,0.421651368
,EigenScore,0.806598725,0.761362972,0.510370098,0.487006931,0.813896393,0.811085496,0.627095628,0.583406564,0.828715041,0.825336948,0.570728349,0.5697221,0.767168457,0.758255965,0.407311019,0.421123283
,Factoscope,/,/,/,/,/,/,/,/,0.82401471,0.819354369,0.524638401,0.550866798,0.759253539,0.75697875,0.395116527,0.411651368
,LHDNA,0.83788429,0.796980196,0.532729993,0.505479085,0.839109398,0.835365839,0.632000057,0.608502899,0.847548924,0.84467226,0.583510537,0.575756039,0.798498496,0.783185164,0.427136535,0.450711483
